provincia_id;provincia_nombre;anio;codigo_delito_snic_id;codigo_delito_snic_nombre;cantidad_hechos;cantidad_victimas;cantidad_victimas_masc;cantidad_victimas_fem;cantidad_victimas_sd;tasa_hechos;tasa_victimas;tasa_victimas_masc;tasa_victimas_fem
1;CABA;2023;1;Abuso sexual agravado;13;4;3;9;2;.42156193;.45398977;.20652793;.5517474
1;CABA;2023;2;Abuso sexual simple;1729;1787;275;1326;186;56.067734;57.948551;18.931726;81.290749
1;CABA;2018;3;Abusos sexuales con acceso carnal (violaciones);176;184;35;47;2;5.7365561;5.9973083;2.4340444;9.0178127
1;CABA;2020;3;Abusos sexuales con acceso carnal (violaciones);249;258;21;232;5;8.0958605;8.3884821;1.453745;4.223.521
1;CABA;2023;3;Abusos sexuales con acceso carnal (violaciones);301;309;37;238;34;9.7607794;3.020.203;2.5471778;4.590.647
1;CABA;2023;4;Ciberdelitos sexuales vinculados a menores;79;81;15;59;7;2.5617993;2.6266551;1.0326396;3.6170089
1;CABA;2018;5;Delitos contra el honor;31;32;16;3;13;103.116;1.043.031;1.1127059;.184037
1;CABA;2020;5;Delitos contra el honor;17;18;4;3;1;.55272943;.58524293;.9691633;.18392484
1;CABA;2023;5;Delitos contra el honor;11;11;7;3;1;.35670623;.35670623;.48189852;.18391572
1;CABA;2018;6;Homicidios culposos por otros hechos;23;24;12;8;4;.74966353;.78225762;.83452952;.49076533
1;CABA;2020;6;Homicidios culposos por otros hechos;16;16;12;4;0;.52021593;.52021593;.8307142;.24523313
1;CABA;2023;6;Homicidios culposos por otros hechos;24;27;19;8;0;.77826816;.8755517;1.308.032;.49041189
1;CABA;2018;7;Homicidios dolosos;133;137;117;20;0;4.335011;4.4653873;8.1366625;1.2269133
1;CABA;2020;7;Homicidios dolosos;121;126;112;4;0;39.311.328;4.0967002;7.7533064;.85831594
1;CABA;2023;7;Homicidios dolosos;89;91;74;17;0;2.8860776;2.9509335;5.0943556;1.042189
