=================================================================================================================================================
|                                  ESTADÍSTICAS DE DELITOS SEGÚN ANIO (2018)
=============================================================================================================================================
| IDProv | PROVINCIA           | ANIO  | CODDel | DELITO                                         | HECHOS | VICTIMAS | VicMASC | VicFEM | VicS/D |
=================================================================================================================================================
|1       |CABA                 |2018   |3       |Abusos sexuales con acceso carnal (violacion    |176     |184       |35       |47      |2      |
|1       |CABA                 |2018   |5       |Delitos contra el honor                         |31      |32        |16       |3       |13     |
|1       |CABA                 |2018   |6       |Homicidios culposos por otros hechos            |23      |24        |12       |8       |4      |
|1       |CABA                 |2018   |7       |Homicidios dolosos                              |133     |137       |117      |20      |0      |
|1       |CABA                 |2018   |8       |Homicidios dolosos en grado de tentativa        |30      |33        |17       |7       |9      |
|1       |CABA                 |2018   |9       |Lesiones culposas en Accidentes Viales          |3061    |11750     |6623     |3716    |111    |
|1       |CABA                 |2018   |10      |Lesiones culposas por otros hechos              |1926    |1999      |921      |603     |475    |
|1       |CABA                 |2018   |10      |Lesiones dolosas                                |1533    |1540      |6057     |5923    |3160   |
|1       |CABA                 |2018   |12      |Muertes en accidentes viales                    |43      |49        |13       |39      |0      |
|1       |CABA                 |2018   |13      |Otros delitos contra la integridad sexual       |1783    |1836      |257      |393     |486    |
|1       |CABA                 |2018   |14      |Otros delitos contra la libertad                |1724    |2061      |995      |757     |309    |
|1       |CABA                 |2018   |14      |Otros delitos contra la libertad                |1705    |2042      |993      |753     |296    |
|1       |CABA                 |2018   |15      |Otros delitos contra las personas               |783     |811       |316      |284     |211    |
|1       |CABA                 |2018   |16      |Suicidios (consumados)                          |237     |238       |154      |83      |1      |
|1       |CABA                 |2018   |18      |Trata de personas agravado                      |4       |4         |0        |1       |3      |
|1       |CABA                 |2018   |19      |Trata de personas simple                        |15      |15        |2        |3       |3      |
|2       |Buenos Aires         |2018   |3       |Abusos sexuales con acceso carnal (violacion    |1346    |1346      |39       |1237    |0      |
|2       |Buenos Aires         |2018   |6       |Homicidios culposos por otros hechos            |62      |65        |39       |26      |0      |
|2       |Buenos Aires         |2018   |7       |Homicidios dolosos                              |951     |992       |847      |45      |0      |
|2       |Buenos Aires         |2018   |8       |Homicidios dolosos en grado de tentativa        |771     |846       |666      |49      |31     |
|2       |Buenos Aires         |2018   |9       |Lesiones culposas en Accidentes Viales          |38516   |4442      |29567    |13364   |1211   |
|2       |Buenos Aires         |2018   |10      |Lesiones culposas por otros hechos              |913     |960       |388      |557     |15     |
|2       |Buenos Aires         |2018   |11      |Lesiones dolosas                                |33481   |36338     |18865    |15809   |1664   |
|2       |Buenos Aires         |2018   |12      |Muertes en accidentes viales                    |148     |1269      |972      |288     |9      |
|2       |Buenos Aires         |2018   |13      |Otros delitos contra la integridad sexual       |448     |1584      |218      |1326    |40     |
|2       |Buenos Aires         |2018   |14      |Otros delitos contra la libertad                |2808    |3007      |356      |1289    |662    |
|2       |Buenos Aires         |2018   |14      |Otros delitos contra la libertad                |2798    |2990      |355      |1277    |658    |
|2       |Buenos Aires         |2018   |15      |Otros delitos contra las personas               |1937    |2037      |1201     |608     |228    |
|2       |Buenos Aires         |2018   |16      |Suicidios (consumados)                          |1393    |1393      |1153     |240     |0      |
|2       |Buenos Aires         |2018   |18      |Trata de personas agravado                      |1       |1         |0        |1       |0      |
|2       |Buenos Aires         |2018   |19      |Trata de personas simple                        |9       |16        |1        |11      |4      |
|3       |Catamarca            |2018   |3       |Abusos sexuales con acceso carnal (violacion    |18      |18        |1        |17      |0      |
|3       |Catamarca            |2018   |7       |Homicidios dolosos                              |6       |6         |5        |1       |0      |
|3       |Catamarca            |2018   |9       |Lesiones culposas en Accidentes Viales          |2194    |2532      |1783     |748     |1      |
|3       |Catamarca            |2018   |11      |Lesiones dolosas                                |3801    |3803      |1550     |2197    |56     |
