Provincia,Cantidad_Hechos
CABA,13
CABA,1729
CABA,176
CABA,249
CABA,301
CABA,79
CABA,31
CABA,17
CABA,11
CABA,23
CABA,16
CABA,24
CABA,133
CABA,121
CABA,89
CABA,30
CABA,75
CABA,39
CABA,3061
CABA,6457
CABA,3311
CABA,1926
CABA,220
CABA,243
CABA,1533
CABA,3630
CABA,1134
CABA,43
CABA,79
CABA,32
CABA,1783
CABA,438
CABA,1972
CABA,48
CABA,1724
CABA,1705
CABA,1238
CABA,1133
CABA,1331
CABA,1224
CABA,783
CABA,371
CABA,428
CABA,237
CABA,206
CABA,184
CABA,3
CABA,4
CABA,3
CABA,24
CABA,15
CABA,32
CABA,83
Buenos Aires,243
Buenos Aires,1163
Buenos Aires,1346
Buenos Aires,1924
Buenos Aires,2211
Buenos Aires,53
Buenos Aires,62
Buenos Aires,99
Buenos Aires,87
Buenos Aires,951
Buenos Aires,915
Buenos Aires,805
Buenos Aires,771
Buenos Aires,760
Buenos Aires,721
Buenos Aires,38516
Buenos Aires,25408
Buenos Aires,34909
Buenos Aires,913
Buenos Aires,118
Buenos Aires,377
Buenos Aires,33481
Buenos Aires,41199
Buenos Aires,63606
Buenos Aires,148
Buenos Aires,676
Buenos Aires,979
Buenos Aires,448
Buenos Aires,7633
Buenos Aires,13135
Buenos Aires,8616
Buenos Aires,2808
Buenos Aires,2798
Buenos Aires,3115
Buenos Aires,3406
Buenos Aires,4787
Buenos Aires,4762
Buenos Aires,1937
Buenos Aires,2138
Buenos Aires,1750
Buenos Aires,1393
Buenos Aires,858
Buenos Aires,1399
Buenos Aires,60
Buenos Aires,1
Buenos Aires,1
Buenos Aires,9
Buenos Aires,9
Buenos Aires,24
Catamarca,98
Catamarca,18
Catamarca,3
Catamarca,12
Catamarca,5
Catamarca,76
Catamarca,6
Catamarca,7
Catamarca,5
Catamarca,4
Catamarca,2194
Catamarca,1260
Catamarca,247
Catamarca,1
Catamarca,3801
Catamarca,2424
Catamarca,489
Catamarca,87
Catamarca,45
Catamarca,59
Catamarca,300
Catamarca,234
Catamarca,356
Catamarca,252
Catamarca,133
Catamarca,133
Catamarca,29
Catamarca,29
Catamarca,151
Catamarca,151
Catamarca,83
Catamarca,238
Catamarca,2304
Catamarca,44
Catamarca,48
Catamarca,56
Catamarca,1
Cordoba,19
Cordoba,286
Cordoba,201
Cordoba,23
Cordoba,225
Cordoba,35
Cordoba,35
Cordoba,39
Cordoba,49
Cordoba,18
Cordoba,3
Cordoba,19
Cordoba,32
Cordoba,120
Cordoba,115
Cordoba,9
Cordoba,3
Cordoba,1
Cordoba,8395
Cordoba,5282
Cordoba,7799
Cordoba,636
Cordoba,505
Cordoba,611
Cordoba,844
Cordoba,6069
Cordoba,6591
Cordoba,44
Cordoba,295
Cordoba,371
Cordoba,692
Cordoba,767
Cordoba,834
Cordoba,480
Cordoba,1318
Cordoba,134
Cordoba,1139
Cordoba,1137
Cordoba,861
Cordoba,857
Cordoba,37290
Cordoba,32165
Cordoba,28020
Cordoba,255
Cordoba,197
Cordoba,289
Cordoba,4
Cordoba,1
Cordoba,1
Cordoba,1
Cordoba,3
Cordoba,1
Cordoba,3
Corrientes,18
Corrientes,261
Corrientes,67
Corrientes,43
Corrientes,113
Corrientes,1
Corrientes,4
Corrientes,8
Corrientes,3
Corrientes,6
Corrientes,36
Corrientes,31
Corrientes,26
Corrientes,38
Corrientes,11
Corrientes,21
Corrientes,6
Corrientes,24
Corrientes,848
Corrientes,376
Corrientes,811
Corrientes,360
Corrientes,355
Corrientes,6
Corrientes,1513
Corrientes,1139
Corrientes,2568
Corrientes,78
Corrientes,39
Corrientes,82
Corrientes,243
Corrientes,134
Corrientes,382
Corrientes,91
Corrientes,72
Corrientes,49
Corrientes,54
Corrientes,18
Corrientes,237
Corrientes,234
Corrientes,762
Corrientes,533
Corrientes,33
Corrientes,83
Corrientes,36
Corrientes,78
Corrientes,11
Corrientes,2
Corrientes,1
Corrientes,21
Corrientes,36
Corrientes,2
Chaco,31
Chaco,377
Chaco,83
Chaco,87
Chaco,129
Chaco,22
Chaco,36
Chaco,80
Chaco,173
Chaco,52
Chaco,35
Chaco,60
Chaco,29
Chaco,35
Chaco,13
Chaco,1194
Chaco,945
Chaco,1686
Chaco,17
Chaco,13
Chaco,18
Chaco,2913
Chaco,2793
Chaco,2832
Chaco,184
Chaco,136
Chaco,185
Chaco,401
Chaco,538
Chaco,573
Chaco,73
Chaco,55
Chaco,54
Chaco,74
Chaco,74
Chaco,185
Chaco,162
Chaco,264
Chaco,213
Chaco,49
Chaco,38
Chaco,32
Chaco,153
Chaco,1
Chaco,2
Chaco,21
Chubut,47
Chubut,348
Chubut,160
Chubut,212
Chubut,193
Chubut,33
Chubut,13
Chubut,31
Chubut,95
Chubut,1
Chubut,4
Chubut,46
Chubut,32
Chubut,30
Chubut,40
Chubut,28
Chubut,33
Chubut,324
Chubut,219
Chubut,356
Chubut,535
Chubut,2120
Chubut,2031
Chubut,2055
Chubut,49
Chubut,16
Chubut,23
Chubut,354
Chubut,381
Chubut,561
Chubut,84
Chubut,260
Chubut,259
Chubut,319
Chubut,316
Chubut,592
Chubut,590
Chubut,2034
Chubut,1811
Chubut,1138
Chubut,69
Chubut,71
Chubut,52
Chubut,49
Chubut,1
Chubut,3
Chubut,2
Entre Rios,11
Entre Rios,271
Entre Rios,46
Entre Rios,52
Entre Rios,80
Entre Rios,4
Entre Rios,221
Entre Rios,338
Entre Rios,27
Entre Rios,8
Entre Rios,28
Entre Rios,8
Entre Rios,69
Entre Rios,48
Entre Rios,40
Entre Rios,26
Entre Rios,49
Entre Rios,34
Entre Rios,2563
Entre Rios,1986
Entre Rios,1817
Entre Rios,323
Entre Rios,254
Entre Rios,277
Entre Rios,2691
Entre Rios,2536
Entre Rios,2116
Entre Rios,158
Entre Rios,63
Entre Rios,128
Entre Rios,250
Entre Rios,287
Entre Rios,322
Entre Rios,26
Entre Rios,139
Entre Rios,98
Entre Rios,56
Entre Rios,53
Entre Rios,23
Entre Rios,22
Entre Rios,3244
Entre Rios,2807
Entre Rios,3540
Entre Rios,234
Entre Rios,198
Entre Rios,247
Entre Rios,3
Entre Rios,2
Entre Rios,11
Entre Rios,1
Entre Rios,1
Formosa,4
Formosa,198
Formosa,84
Formosa,14
Formosa,116
Formosa,4
Formosa,2
Formosa,3
Formosa,4
Formosa,6
Formosa,5
Formosa,37
Formosa,27
Formosa,21
Formosa,53
Formosa,86
Formosa,66
Formosa,900
Formosa,648
Formosa,880
Formosa,1
Formosa,5
Formosa,3127
Formosa,2980
Formosa,3084
Formosa,120
Formosa,73
Formosa,71
Formosa,207
Formosa,265
Formosa,319
Formosa,67
Formosa,386
Formosa,386
Formosa,512
Formosa,512
Formosa,539
Formosa,538
Formosa,601
Formosa,127
Formosa,36
Formosa,65
Formosa,66
Formosa,78
Formosa,46
Formosa,1
Jujuy,71
Jujuy,495
Jujuy,153
Jujuy,198
Jujuy,153
Jujuy,25
Jujuy,79
Jujuy,182
Jujuy,307
Jujuy,4
Jujuy,5
Jujuy,19
Jujuy,35
Jujuy,17
Jujuy,8
Jujuy,3
Jujuy,17
Jujuy,733
Jujuy,812
Jujuy,1322
Jujuy,11
Jujuy,26
Jujuy,92
Jujuy,1284
Jujuy,2223
Jujuy,3336
Jujuy,58
Jujuy,53
Jujuy,79
Jujuy,212
Jujuy,398
Jujuy,985
Jujuy,376
Jujuy,19
Jujuy,4
Jujuy,45
Jujuy,43
Jujuy,201
Jujuy,200
Jujuy,2068
Jujuy,62
Jujuy,11
Jujuy,28
Jujuy,65
Jujuy,61
Jujuy,18
Jujuy,5
Jujuy,1
Jujuy,1
Jujuy,1
La Pampa,2
La Pampa,206
La Pampa,48
La Pampa,8
La Pampa,57
La Pampa,3
La Pampa,9
La Pampa,1
La Pampa,12
La Pampa,4
La Pampa,5
La Pampa,3
La Pampa,1174
La Pampa,3
La Pampa,1539
La Pampa,381
La Pampa,1163
La Pampa,52
La Pampa,23
La Pampa,40
La Pampa,82
La Pampa,3
La Pampa,219
La Pampa,23
La Pampa,23
La Pampa,67
La Pampa,67
La Pampa,11
La Pampa,5
La Pampa,40
La Pampa,43
La Pampa,43
La Pampa,1
La Rioja,156
La Rioja,64
La Rioja,30
La Rioja,16
La Rioja,1
La Rioja,4
La Rioja,1
La Rioja,3
La Rioja,4
La Rioja,9
La Rioja,1
La Rioja,3
La Rioja,1
La Rioja,2592
La Rioja,1611
La Rioja,1981
La Rioja,390
La Rioja,462
La Rioja,985
La Rioja,80
La Rioja,47
La Rioja,50
La Rioja,42
La Rioja,121
La Rioja,157
La Rioja,2
La Rioja,2
La Rioja,6
La Rioja,6
La Rioja,12
La Rioja,12
La Rioja,4
La Rioja,4
La Rioja,47
La Rioja,45
La Rioja,54
Mendoza,51
Mendoza,2443
Mendoza,383
Mendoza,434
Mendoza,525
Mendoza,760
Mendoza,43
Mendoza,40
Mendoza,61
Mendoza,173
Mendoza,90
Mendoza,43
Mendoza,97
Mendoza,89
Mendoza,64
Mendoza,50
Mendoza,68
Mendoza,93
Mendoza,46
Mendoza,164
Mendoza,118
Mendoza,1357
Mendoza,7163
Mendoza,11183
Mendoza,4949
Mendoza,12697
Mendoza,16611
Mendoza,157
Mendoza,87
Mendoza,13
Mendoza,2569
Mendoza,2590
Mendoza,3484
Mendoza,230
Mendoza,1131
Mendoza,1118
Mendoza,886
Mendoza,880
Mendoza,395
Mendoza,387
Mendoza,2011
Mendoza,1904
Mendoza,2618
Mendoza,198
Mendoza,194
Mendoza,207
Mendoza,5
Mendoza,1
Mendoza,8
Mendoza,6
Mendoza,7
Misiones,4
Misiones,561
Misiones,299
Misiones,366
Misiones,573
Misiones,13
Misiones,18
Misiones,3
Misiones,2
Misiones,6
Misiones,5
Misiones,26
Misiones,57
Misiones,57
Misiones,44
Misiones,42
Misiones,35
Misiones,50
Misiones,942
Misiones,737
Misiones,929
Misiones,170
Misiones,117
Misiones,26
Misiones,2079
Misiones,2270
Misiones,2025
Misiones,226
Misiones,138
Misiones,201
Misiones,63
Misiones,819
Misiones,839
Misiones,177
Misiones,11
Misiones,40
Misiones,38
Misiones,38
Misiones,136
Misiones,136
Misiones,942
Misiones,1211
Misiones,511
Misiones,70
Misiones,120
Misiones,82
Misiones,84
Misiones,1
Neuquen,196
Neuquen,50
Neuquen,35
Neuquen,61
Neuquen,5
Neuquen,8
Neuquen,13
Neuquen,7
Neuquen,15
Neuquen,4
Neuquen,5
Neuquen,30
Neuquen,42
Neuquen,30
Neuquen,4
Neuquen,5
Neuquen,12
Neuquen,2118
Neuquen,145
Neuquen,1709
Neuquen,13
Neuquen,54
Neuquen,9
Neuquen,449
Neuquen,1387
Neuquen,1243
Neuquen,68
Neuquen,44
Neuquen,47
Neuquen,231
Neuquen,283
Neuquen,251
Neuquen,50
Neuquen,19
Neuquen,4
Neuquen,4
Neuquen,13
Neuquen,48
Neuquen,40
Neuquen,923
Neuquen,1152
Neuquen,1252
Neuquen,70
Neuquen,52
Neuquen,62
Neuquen,2
Neuquen,1
Neuquen,3
Neuquen,8
Rio Negro,1
Rio Negro,69
Rio Negro,31
Rio Negro,4
Rio Negro,1
Rio Negro,8
Rio Negro,8
Rio Negro,3
Rio Negro,6
Rio Negro,21
Rio Negro,37
Rio Negro,27
Rio Negro,18
Rio Negro,19
Rio Negro,19
Rio Negro,537
Rio Negro,323
Rio Negro,464
Rio Negro,1
Rio Negro,2220
Rio Negro,2098
Rio Negro,2404
Rio Negro,78
Rio Negro,36
Rio Negro,55
Rio Negro,280
Rio Negro,380
Rio Negro,579
Rio Negro,564
Rio Negro,780
Rio Negro,778
Rio Negro,43
Rio Negro,408
Rio Negro,379
Rio Negro,379
Rio Negro,215
Rio Negro,302
Rio Negro,359
Rio Negro,43
Rio Negro,35
Rio Negro,46
Rio Negro,2
Rio Negro,2
Salta,23
Salta,676
Salta,272
Salta,328
Salta,356
Salta,47
Salta,1
Salta,5
Salta,7
Salta,5
Salta,72
Salta,89
Salta,63
Salta,40
Salta,79
Salta,65
Salta,4425
Salta,3340
Salta,4848
Salta,7807
Salta,3117
Salta,11195
Salta,39
Salta,128
Salta,153
Salta,840
Salta,1113
Salta,443
Salta,693
Salta,1264
Salta,1261
Salta,2473
Salta,2471
Salta,2605
Salta,2605
Salta,212
Salta,275
Salta,249
Salta,160
Salta,195
Salta,184
Salta,4
Salta,1
Salta,2
Salta,2
San Juan,90
San Juan,559
San Juan,13
San Juan,38
San Juan,88
San Juan,61
San Juan,4
San Juan,2
San Juan,2
San Juan,12
San Juan,4
San Juan,16
San Juan,16
San Juan,9
San Juan,8
San Juan,6
San Juan,12
San Juan,697
San Juan,475
San Juan,651
San Juan,220
San Juan,27
San Juan,28
San Juan,1698
San Juan,2544
San Juan,3255
San Juan,83
San Juan,69
San Juan,82
San Juan,47
San Juan,132
San Juan,800
San Juan,90
San Juan,5
San Juan,2
San Juan,37
San Juan,36
San Juan,280
San Juan,275
San Juan,995
San Juan,918
San Juan,82
San Juan,51
San Juan,54
San Juan,76
San Juan,1
San Juan,4
San Juan,2
San Juan,1
San Juan,1
San Luis,8
San Luis,76
San Luis,44
San Luis,75
San Luis,51
San Luis,6
San Luis,6
San Luis,7
San Luis,2
San Luis,1
San Luis,11
San Luis,13
San Luis,4
San Luis,17
San Luis,29
San Luis,25
San Luis,1186
San Luis,638
San Luis,44
San Luis,9
San Luis,18
San Luis,1677
San Luis,2338
San Luis,2718
San Luis,93
San Luis,58
San Luis,57
San Luis,195
San Luis,189
San Luis,186
San Luis,95
San Luis,47
San Luis,47
San Luis,181
San Luis,181
San Luis,296
San Luis,294
San Luis,27
San Luis,31
San Luis,88
San Luis,52
San Luis,62
San Luis,79
San Luis,1
San Luis,2
Santa Cruz,225
Santa Cruz,43
Santa Cruz,62
Santa Cruz,78
Santa Cruz,5
Santa Cruz,4
Santa Cruz,1
Santa Cruz,1
Santa Cruz,11
Santa Cruz,15
Santa Cruz,9
Santa Cruz,20
Santa Cruz,11
Santa Cruz,16
Santa Cruz,162
Santa Cruz,85
Santa Cruz,193
Santa Cruz,1
Santa Cruz,1
Santa Cruz,1869
